Variant ID,Round ID,Review Cycle,Source Asset ID,Source Video,Source Video Description,Date Posted,Time Posted,Day of Week,Phase,Test Variable,Variant Category,Exact Hook / Variant Wording,Modality,Country,Format Type,Video Length (sec),Predicted Best Performing Hook,Human Prediction Rank,Prediction Confidence,Prediction Rationale,Views 24h,3-Sec Retention % 24h,Avg Watch Time (sec) 24h,Watch % of Length 24h,Saves 24h,Shares 24h,Comments 24h,Follows from Reel 24h,Views 48h,3-Sec Retention % 48h,Avg Watch Time (sec) 48h,Watch % of Length 48h,Saves 48h,Shares 48h,Comments 48h,Follows from Reel 48h,Decision Score 48h,Promoted to Feed (Y/N),Date Promoted,Winner of Round (Y/N),Prediction Correct (Round),Views 7d,3-Sec Retention % 7d,Avg Watch Time (sec) 7d,Watch % of Length 7d,Saves 7d,Shares 7d,Comments 7d,Follows from Reel 7d,7d Distribution Context,Notes / Anomalies
R01V1,R01,Jun 22 – Jul 5,SRC-001,"Wrong Train, Right Coast",A missed train turns into an unplanned coastal detour and a better day than the original itinerary.,2026-06-22,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Credential,Two Harvard students miss the train and accidentally find the best stop on the coast,Text overlay + matched opening audio,Portugal,Storytime / mishap,31,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,228,48.6,10.5,33.9,2,3,0,1,374,49.6,9.9,31.9,4,5,1,2,44.4,Y,2026-06-24,Y,Y,2698,44.2,9.3,30.0,20,25,5,8,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R01V2,R01,Jun 22 – Jul 5,SRC-001,"Wrong Train, Right Coast",A missed train turns into an unplanned coastal detour and a better day than the original itinerary.,2026-06-22,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Numbered / Specific,3 things that happened after we missed our train in Portugal,Text overlay + matched opening audio,Portugal,Storytime / mishap,31,N,3,High,,247,39.8,7.9,25.5,0,2,0,0,338,40.9,7.8,25.1,1,4,0,1,35.7,N,,N,Y,398,40.5,7.4,24.0,1,4,0,1,Trial-reel distribution only; not promoted,
R01V3,R01,Jun 22 – Jul 5,SRC-001,"Wrong Train, Right Coast",A missed train turns into an unplanned coastal detour and a better day than the original itinerary.,2026-06-22,10:00 AM,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you miss your train and the backup plan becomes the whole trip,Text overlay + matched opening audio,Portugal,Storytime / mishap,31,N,2,High,,282,43.4,8.7,27.9,0,1,0,1,384,42.0,9.3,30.0,1,2,1,2,36.9,N,,N,Y,409,41.3,9.2,29.8,1,2,1,2,Trial-reel distribution only; not promoted,
R01V4,R01,Jun 22 – Jul 5,SRC-001,"Wrong Train, Right Coast",A missed train turns into an unplanned coastal detour and a better day than the original itinerary.,2026-06-22,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Missing this train was the best thing that happened to our itinerary,Text overlay + matched opening audio,Portugal,Storytime / mishap,31,N,5,High,,213,40.2,8.5,27.5,1,1,0,0,337,40.4,8.8,28.3,3,3,1,0,36.0,N,,N,Y,410,39.5,8.4,27.2,3,3,1,0,Trial-reel distribution only; not promoted,
R01V5,R01,Jun 22 – Jul 5,SRC-001,"Wrong Train, Right Coast",A missed train turns into an unplanned coastal detour and a better day than the original itinerary.,2026-06-22,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the train doors closing as we reach the platform],Existing visual/audio opening; hook layer removed,Portugal,Storytime / mishap,31,N,4,High,,253,37.9,8.6,27.9,0,3,0,0,364,39.2,8.7,28.1,1,5,1,0,34.9,N,,N,Y,440,39.8,8.5,27.4,1,5,1,0,Trial-reel distribution only; not promoted,
R02V1,R02,Jun 22 – Jul 5,SRC-002,Breakfast Before Sunrise,A pre-dawn market breakfast challenge built around finding the best cheap bite before sunrise.,2026-06-23,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Credential,Harvard students try to find the best breakfast in Istanbul before sunrise,Text overlay + matched opening audio,Turkey,Food / challenge,24,N,2,High,,129,38.9,6.5,27.2,0,0,0,0,170,37.6,6.6,27.4,0,1,0,0,32.6,N,,N,Y,186,37.3,6.6,27.6,0,1,0,0,Trial-reel distribution only; not promoted,
R02V2,R02,Jun 22 – Jul 5,SRC-002,Breakfast Before Sunrise,A pre-dawn market breakfast challenge built around finding the best cheap bite before sunrise.,2026-06-23,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Numbered / Specific,We had 45 minutes to find Istanbul’s best breakfast before sunrise,Text overlay + matched opening audio,Turkey,Food / challenge,24,N,5,High,,108,37.7,5.6,23.3,0,0,0,0,155,36.6,5.7,23.6,1,1,0,0,31.9,N,,N,Y,169,36.9,5.4,22.4,1,1,0,0,Trial-reel distribution only; not promoted,
R02V3,R02,Jun 22 – Jul 5,SRC-002,Breakfast Before Sunrise,A pre-dawn market breakfast challenge built around finding the best cheap bite before sunrise.,2026-06-23,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: it is 5:12 a.m. and you are hunting for breakfast in Istanbul,Text overlay + matched opening audio,Turkey,Food / challenge,24,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,155,53.0,9.0,37.3,0,1,0,0,214,51.1,8.6,35.8,1,2,0,0,44.6,Y,2026-06-25,Y,Y,1345,48.5,7.9,33.0,4,9,0,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R02V4,R02,Jun 22 – Jul 5,SRC-002,Breakfast Before Sunrise,A pre-dawn market breakfast challenge built around finding the best cheap bite before sunrise.,2026-06-23,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The best breakfast in Istanbul might happen before the city wakes up,Text overlay + matched opening audio,Turkey,Food / challenge,24,N,3,High,,103,33.0,4.8,20.2,0,0,0,0,140,33.8,4.8,20.2,0,1,0,0,28.7,N,,N,Y,154,33.6,4.9,20.4,0,1,0,0,Trial-reel distribution only; not promoted,
R02V5,R02,Jun 22 – Jul 5,SRC-002,Breakfast Before Sunrise,A pre-dawn market breakfast challenge built around finding the best cheap bite before sunrise.,2026-06-23,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on steam rising off the first food stall],Existing visual/audio opening; hook layer removed,Turkey,Food / challenge,24,N,4,High,,95,34.8,5.3,22.1,0,0,0,0,150,35.8,5.4,22.3,1,1,0,0,31.1,N,,N,Y,165,34.7,5.3,22.3,1,1,0,0,Trial-reel distribution only; not promoted,
R03V1,R03,Jun 22 – Jul 5,SRC-003,The Cliff Bus Stop,A bus stop perched over a cliff becomes the setup for a short story about trusting local transit.,2026-06-24,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Credential,Two Harvard students trusted a cliffside bus stop in Madeira with no schedule posted,Text overlay + matched opening audio,Madeira,Scenic story / tension,27,N,4,Medium,,153,58.5,10.1,37.4,1,2,0,0,227,58.1,10.2,37.9,2,3,0,0,50.8,N,,N,Y,274,58.8,10.4,38.7,2,3,0,0,Trial-reel distribution only; not promoted,
R03V2,R03,Jun 22 – Jul 5,SRC-003,The Cliff Bus Stop,A bus stop perched over a cliff becomes the setup for a short story about trusting local transit.,2026-06-24,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Numbered / Specific,We waited 38 minutes at the strangest bus stop in Madeira,Text overlay + matched opening audio,Madeira,Scenic story / tension,27,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",174,66.8,11.1,41.1,2,3,0,0,241,66.4,11.1,41.1,3,5,0,0,58.2,Y,2026-06-26,Y,Y,2123,64.4,10.1,37.4,23,38,0,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R03V3,R03,Jun 22 – Jul 5,SRC-003,The Cliff Bus Stop,A bus stop perched over a cliff becomes the setup for a short story about trusting local transit.,2026-06-24,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your bus stop is a painted curb on the edge of a cliff,Text overlay + matched opening audio,Madeira,Scenic story / tension,27,N,5,Medium,,157,60.7,11.2,41.6,0,0,0,0,209,58.8,10.8,40.1,2,2,0,1,52.0,N,,N,Y,234,58.6,10.8,40.0,2,2,0,1,Trial-reel distribution only; not promoted,
